Reactor-length Experimental-results Non-adiabatic-reflective-wall Adiabatic-reflective-wall
cm C C C
13.593 505.05 595.85 956.85
13.662 518.55 612.05 965.85
13.731 531.05 627.35 975.85
13.8 540.45 639.15 983.85
13.869 547.55 648.25 992.85
13.938 554.45 657.35 1000.85
14.007 559.85 664.65 1008.85
14.076 564.85 671.85 1016.85
14.145 569.35 678.55 1023.85
14.214 572.65 683.85 1030.85
14.283 576.55 690.05 1036.85
14.352 578.35 693.55 1042.85
14.421 580.65 697.75 1048.85
14.49 582.25 701.15 1054.85
14.559 583.55 704.15 1059.85
14.628 585.35 707.95 1065.85
14.697 586.85 711.25 1070.85
14.766 588.35 714.55 1075.85
14.835 589.75 717.65 1080.85
14.904 590.75 720.25 1084.85
14.973 592.05 723.25 1089.85
15.042 592.85 725.35 1093.85
15.111 593.85 727.85 1097.85
15.18 594.25 729.85 1101.85
15.249 594.55 731.85 1104.85
15.318 595.25 733.85 1108.85
15.387 595.55 735.85 1111.85
15.456 596.15 737.85 1114.85
15.525 596.65 739.85 1117.85
15.594 596.95 740.85 1120.85
15.663 597.55 742.85 1123.85
15.732 597.95 743.85 1126.85
15.801 598.25 745.85 1128.85
15.87 598.65 746.85 1131.85
15.939 599.05 747.85 1133.85
16.008 599.55 749.85 1135.85
16.077 599.95 750.85 1137.85
16.146 600.45 751.85 1139.85
16.215 600.55 752.85 1141.85
16.284 600.35 752.85 1142.85
16.353 600.35 753.85 1144.85
16.422 600.45 754.85 1145.85
16.491 600.45 754.85 1146.85
16.56 600.65 755.85 1147.85
16.629 600.75 755.85 1148.85
16.698 601.05 756.85 1149.85
16.767 601.35 757.85 1150.85
16.836 601.25 757.85 1150.85
16.905 601.35 757.85 1151.85
16.974 601.45 757.85 1151.85
17.043 601.55 757.85 1152.85
17.112 601.75 758.85 1152.85
17.181 601.85 758.85 1152.85
17.25 601.85 757.85 1152.85
17.319 601.65 757.85 1151.85
17.388 601.35 757.85 1151.85
17.457 601.35 757.85 1150.85
17.526 600.95 756.85 1150.85
17.595 600.95 756.85 1149.85
17.664 600.85 755.85 1148.85
17.733 600.85 755.85 1147.85
17.802 600.95 754.85 1146.85
17.871 600.75 753.85 1145.85
17.94 600.55 753.85 1144.85
18.009 600.35 752.85 1142.85
18.078 600.25 751.85 1141.85
18.147 600.25 750.85 1139.85
18.216 600.15 749.85 1138.85
18.285 599.95 748.85 1136.85
18.354 599.45 747.85 1134.85
18.423 598.85 745.85 1131.85
18.492 598.55 744.85 1129.85
18.561 597.95 742.85 1126.85
18.63 597.65 741.85 1124.85
18.699 597.15 739.85 1121.85
18.768 596.75 738.85 1118.85
18.837 596.45 736.85 1115.85
18.906 595.85 734.85 1112.85
18.975 595.25 732.85 1108.85
19.044 594.65 730.85 1105.85
19.113 594.15 728.85 1101.85
19.182 593.65 726.35 1098.85
19.251 593.15 724.15 1094.85
19.32 592.55 721.85 1090.85
19.389 591.15 718.75 1085.85
19.458 589.85 715.75 1080.85
19.527 588.35 712.55 1076.85
19.596 586.85 709.25 1071.85
19.665 585.45 705.95 1066.85
19.734 583.85 702.55 1060.85
19.803 582.15 698.75 1055.85
19.872 580.05 694.75 1049.85
19.941 577.65 690.25 1043.85
20.01 574.75 685.15 1037.85
20.079 571.25 679.45 1030.85
20.148 567.45 673.55 1024.85
20.217 562.55 666.25 1017.85
20.286 556.95 658.35 1010.85
20.355 549.65 648.55 1003.85
20.424 540.45 636.55 995.85
20.493 528.95 622.05 988.85
20.562 514.35 603.95 982.85
20.631 496.65 582.15 975.85
20.7 474.65 555.05 971.85
20.769 447.45 521.75 968.85
20.838 418.35 486.15 966.85
20.907 389.85 451.25 965.85
20.976 363.75 419.35 964.85
21.045 340.75 391.55 962.85
21.114 321.15 368.05 961.85
21.183 304.95 348.95 960.85
21.252 291.95 334.05 958.85
21.321 282.05 323.05 957.85
21.39 274.85 315.65 955.85
21.459 269.95 311.25 954.85
21.528 267.15 309.55 952.85
21.597 266.15 310.05 951.85
21.666 266.65 312.55 949.85
21.735 268.55 316.75 947.85
21.804 271.65 322.15 946.85
21.873 275.05 327.95 944.85
21.942 277.45 332.25 943.85
22.011 277.45 332.95 941.85
22.08 273.75 328.35 940.85
22.149 264.85 316.45 939.85
22.218 247.85 293.55 938.85
22.287 214.25 248.35 939.85
22.356 186.05 210.15 940.85
22.425 165.35 182.25 940.85
22.494 149.55 161.25 940.85
22.563 137.65 145.55 940.85
22.632 128.35 133.45 940.85
22.701 120.55 123.55 939.85
22.77 113.85 115.25 939.85
22.839 108.35 108.55 938.85
22.908 103.35 102.55 938.85
22.977 98.95 97.45 937.85
23.046 95.05 92.85 937.85
23.115 91.45 88.75 936.85
23.184 88.25 85.15 935.85
23.253 85.25 81.75 934.85
23.322 82.45 78.65 934.85
23.391 79.85 75.85 933.85
23.46 77.55 73.35 932.85
23.529 75.45 71.15 931.85
23.598 73.45 68.95 930.85
23.667 71.45 66.85 930.85
23.736 69.65 64.85 929.85
23.805 67.95 63.05 928.85
23.874 66.35 61.45 927.85
23.943 64.85 59.85 926.85
24.012 63.35 58.25 925.85
24.081 62.05 56.95 924.85
24.15 60.85 55.65 923.85
24.219 59.65 54.35 922.85
24.288 58.45 53.15 921.85
24.357 57.35 52.05 920.85
24.426 56.35 50.95 918.85
24.495 55.35 49.95 917.85
24.564 54.35 48.95 916.85
24.633 53.55 48.15 915.85
24.702 52.65 47.25 914.85
24.771 51.85 46.45 913.85
24.84 51.05 45.65 911.85
24.909 50.35 44.95 910.85
24.978 49.65 44.25 909.85
25.047 48.95 43.65 907.85
25.116 48.25 42.95 906.85
25.185 47.65 42.45 904.85
25.254 47.05 41.85 903.85
25.323 46.45 41.35 902.85
25.392 45.95 40.75 900.85
25.461 45.35 40.35 898.85
25.53 44.85 39.85 897.85
25.599 44.35 39.45 895.85
25.668 43.95 38.95 894.85
