Input-power Ethylene-production-rate 
W  mmol-cm3-hr-100
75.52 3.17882527504343 
77.44 3.24563158065774 
80.52 3.36360482670196 
82.5 3.58413795599305 
85.34 3.78473767474564 
87.72 4.57088830755232 
90.65 4.81003053475187 
92.75 6.7212067788899 
95.76 7.18003227365787 
97.2 8.55473953594177 
101.01 11.3502843494086 
106.78 18.6403491810737 
