Reactor-length Experimental-model Ethylene-mass-fraction-adiabatic-reflected-radiation Ethylene-mass-fraction-adiabatic-reflected-radiation-recycle
cm 
11.316 0.01169 0.01137 0.01904
11.385 0.0117 0.01138 0.01914
11.454 0.0117 0.01138 0.01925
11.523 0.01171 0.01139 0.01936
11.592 0.01171 0.01139 0.01947
11.661 0.01172 0.0114 0.01959
11.73 0.01172 0.0114 0.01972
11.799 0.01173 0.01141 0.01985
11.868 0.01173 0.01141 0.01999
11.937 0.01174 0.01142 0.02013
12.006 0.01174 0.01142 0.02028
12.075 0.01175 0.01143 0.02044
12.144 0.01176 0.01144 0.0206
12.213 0.01176 0.01144 0.02077
12.282 0.01177 0.01145 0.02095
12.351 0.01178 0.01146 0.02114
12.42 0.01178 0.01147 0.02133
12.489 0.01179 0.01148 0.02153
12.558 0.0118 0.01149 0.02174
12.627 0.01181 0.0115 0.02196
12.696 0.01182 0.01151 0.02219
12.765 0.01183 0.01152 0.02243
12.834 0.01184 0.01154 0.02268
12.903 0.01185 0.01155 0.02294
12.972 0.01187 0.01157 0.02322
13.041 0.01189 0.01159 0.0235
13.11 0.01191 0.01162 0.0238
13.179 0.01194 0.01165 0.02411
13.248 0.01197 0.01168 0.02443
13.317 0.01201 0.01171 0.02477
13.386 0.01206 0.01175 0.02512
13.455 0.01212 0.0118 0.02548
13.524 0.01216 0.01184 0.02583
13.593 0.01224 0.0119 0.0262
13.662 0.0123 0.01195 0.02657
13.731 0.01239 0.01202 0.02696
13.8 0.01245 0.01208 0.02735
13.869 0.01254 0.01215 0.02774
13.938 0.01263 0.01223 0.02815
14.007 0.01272 0.01231 0.02855
14.076 0.01282 0.0124 0.02896
14.145 0.01291 0.01249 0.02938
14.214 0.01301 0.01258 0.0298
14.283 0.01313 0.01269 0.03024
14.352 0.01322 0.0128 0.03066
14.421 0.01335 0.01292 0.0311
14.49 0.01346 0.01304 0.03155
14.559 0.01358 0.01317 0.03198
14.628 0.0137 0.01331 0.03244
14.697 0.01382 0.01345 0.03288
14.766 0.01395 0.0136 0.03333
14.835 0.01407 0.01375 0.03379
14.904 0.0142 0.01391 0.03423
14.973 0.01433 0.01409 0.0347
15.042 0.01446 0.01426 0.03515
15.111 0.0146 0.01444 0.03561
15.18 0.01474 0.01464 0.03607
15.249 0.01487 0.01483 0.03651
15.318 0.01501 0.01503 0.03698
15.387 0.01514 0.01524 0.03743
15.456 0.01529 0.01546 0.03789
15.525 0.01543 0.01567 0.03833
15.594 0.01557 0.0159 0.03878
15.663 0.01571 0.01613 0.03923
15.732 0.01585 0.01636 0.03967
15.801 0.016 0.0166 0.0401
15.87 0.01614 0.01685 0.04053
15.939 0.01628 0.01709 0.04095
16.008 0.01643 0.01735 0.04138
16.077 0.01657 0.0176 0.0418
16.146 0.01672 0.01786 0.04221
16.215 0.01686 0.01812 0.04261
16.284 0.01701 0.01838 0.04301
16.353 0.01715 0.01865 0.0434
16.422 0.0173 0.01892 0.04379
16.491 0.01744 0.01919 0.04416
16.56 0.01758 0.01946 0.04454
16.629 0.01773 0.01973 0.04489
16.698 0.01787 0.02 0.04525
16.767 0.01801 0.02027 0.0456
16.836 0.01816 0.02054 0.04593
16.905 0.0183 0.02081 0.04626
16.974 0.01844 0.02107 0.04658
17.043 0.01858 0.02134 0.04689
17.112 0.01872 0.0216 0.04719
17.181 0.01886 0.02186 0.04748
17.25 0.019 0.02212 0.04777
17.319 0.01913 0.02237 0.04803
17.388 0.01927 0.02262 0.0483
17.457 0.0194 0.02287 0.04856
17.526 0.01953 0.02311 0.0488
17.595 0.01967 0.02335 0.04904
17.664 0.0198 0.02358 0.04926
17.733 0.01993 0.02381 0.04948
17.802 0.02006 0.02404 0.04969
17.871 0.02018 0.02425 0.04988
17.94 0.02031 0.02447 0.05007
18.009 0.02043 0.02467 0.05025
18.078 0.02055 0.02487 0.05042
18.147 0.02067 0.02506 0.05058
18.216 0.02078 0.02525 0.05073
18.285 0.0209 0.02543 0.05088
18.354 0.02101 0.0256 0.05101
18.423 0.02113 0.02577 0.05114
18.492 0.02124 0.02593 0.05125
18.561 0.02134 0.02608 0.05136
18.63 0.02145 0.02623 0.05147
18.699 0.02155 0.02637 0.05156
18.768 0.02165 0.02651 0.05165
18.837 0.02174 0.02663 0.05173
18.906 0.02183 0.02675 0.05181
18.975 0.02193 0.02687 0.05188
19.044 0.02201 0.02697 0.05194
19.113 0.02209 0.02707 0.052
19.182 0.02217 0.02717 0.05205
19.251 0.02225 0.02725 0.05209
19.32 0.02232 0.02734 0.05214
19.389 0.02239 0.02741 0.05217
19.458 0.02246 0.02748 0.0522
19.527 0.02252 0.02755 0.05223
19.596 0.02257 0.02761 0.05226
19.665 0.02263 0.02766 0.05228
19.734 0.02268 0.02771 0.05229
19.803 0.02272 0.02776 0.05231
19.872 0.02276 0.0278 0.05232
19.941 0.0228 0.02783 0.05233
20.01 0.02283 0.02786 0.05234
20.079 0.02286 0.02789 0.05235
20.148 0.02288 0.02792 0.05235
20.217 0.0229 0.02794 0.05235
20.286 0.02292 0.02796 0.05235
20.355 0.02293 0.02797 0.05236
20.424 0.02294 0.02799 0.05236
20.493 0.02295 0.028 0.05236
20.562 0.02295 0.028 0.05236
20.631 0.02295 0.02801 0.05236
20.7 0.02295 0.02801 0.05235
20.769 0.02295 0.02801 0.05235
20.838 0.02295 0.02801 0.05235
20.907 0.02295 0.02801 0.05235
20.976 0.02295 0.02801 0.05235
21.045 0.02295 0.02801 0.05235
21.114 0.02295 0.02801 0.05235
21.183 0.02296 0.02801 0.05235
21.252 0.02296 0.02801 0.05235
21.321 0.02296 0.02801 0.05235
21.39 0.02296 0.02801 0.05235
21.459 0.02296 0.02801 0.05235
21.528 0.02296 0.02801 0.05235
21.597 0.02296 0.02801 0.05235
21.666 0.02296 0.02801 0.05235
21.735 0.02296 0.02801 0.05235
21.804 0.02296 0.02801 0.05235
21.873 0.02296 0.02801 0.05235
21.942 0.02296 0.02801 0.05235
22.011 0.02296 0.02801 0.05235
22.08 0.02296 0.02801 0.05235
22.149 0.02296 0.02801 0.05235
22.218 0.02296 0.02801 0.05235
22.287 0.02296 0.02801 0.05235
22.356 0.02296 0.02801 0.05235
22.425 0.02296 0.02801 0.05235
22.494 0.02296 0.02801 0.05235
22.563 0.02296 0.02801 0.05235
22.632 0.02296 0.02801 0.05235
22.701 0.02296 0.02801 0.05235
22.77 0.02296 0.02801 0.05235
22.839 0.02296 0.02801 0.05235
22.908 0.02296 0.02801 0.05235
22.977 0.02296 0.02801 0.05235
23.046 0.02296 0.02801 0.05235
23.115 0.02296 0.02801 0.05235
23.184 0.02296 0.02801 0.05235
23.253 0.02296 0.02801 0.05235
23.322 0.02296 0.02801 0.05235
23.391 0.02296 0.02801 0.05235
23.46 0.02296 0.02801 0.05235
23.529 0.02296 0.02801 0.05235
23.598 0.02296 0.02801 0.05235
23.667 0.02296 0.02801 0.05235
23.736 0.02296 0.02801 0.05235
23.805 0.02296 0.02801 0.05235
23.874 0.02296 0.02801 0.05235
23.943 0.02296 0.02801 0.05235
24.012 0.02296 0.02801 0.05235
24.081 0.02296 0.02801 0.05235
24.15 0.02296 0.02801 0.05235
24.219 0.02296 0.02801 0.05235
24.288 0.02296 0.02801 0.05235
24.357 0.02296 0.02801 0.05235
24.426 0.02296 0.02801 0.05235
24.495 0.02296 0.02801 0.05235
24.564 0.02296 0.02801 0.05235
24.633 0.02296 0.02801 0.05235
24.702 0.02296 0.02801 0.05235
24.771 0.02296 0.02801 0.05235
24.84 0.02296 0.02801 0.05235
24.909 0.02296 0.02801 0.05235
24.978 0.02296 0.02801 0.05235
25.047 0.02296 0.02801 0.05235
25.116 0.02296 0.02801 0.05235
25.185 0.02296 0.02801 0.05235
25.254 0.02296 0.02801 0.05235
25.323 0.02296 0.02801 0.05235
25.392 0.02296 0.02801 0.05235
25.461 0.02296 0.02801 0.05235
25.53 0.02296 0.02801 0.05235
25.599 0.02296 0.02801 0.05235
25.668 0.02296 0.02801 0.05235
25.737 0.02296 0.02801 0.05235
25.806 0.02296 0.02801 0.05235
25.875 0.02296 0.02801 0.05235
25.944 0.02296 0.02801 0.05235
26.013 0.02296 0.02801 0.05235
26.082 0.02296 0.02801 0.05235
26.151 0.02296 0.02801 0.05235
26.22 0.02296 0.02801 0.05235
26.289 0.02296 0.02801 0.05235
26.358 0.02296 0.02801 0.05235
26.427 0.02296 0.02801 0.05235
26.496 0.02296 0.02801 0.05235
26.565 0.02296 0.02801 0.05235
26.634 0.02296 0.02801 0.05235
26.703 0.02296 0.02801 0.05235
26.772 0.02296 0.02801 0.05235
26.841 0.02296 0.02801 0.05235
26.91 0.02296 0.02801 0.05235
26.979 0.02296 0.02801 0.05235
27.048 0.02296 0.02801 0.05235
27.117 0.02296 0.02801 0.05235
27.186 0.02296 0.02801 0.05235
27.255 0.02296 0.02801 0.05235
27.324 0.02296 0.02801 0.05235
27.393 0.02296 0.02801 0.05235
27.462 0.02296 0.02801 0.05235
27.531 0.02296 0.02801 0.05235
27.6 0.02296 0.02801 0.05235
27.669 0.02296 0.02801 0.05235
27.738 0.02296 0.02801 0.05235
27.807 0.02296 0.02801 0.05235
27.876 0.02296 0.02801 0.05235
27.945 0.02296 0.02801 0.05235
28.014 0.02296 0.02801 0.05235
28.083 0.02296 0.02801 0.05235
28.152 0.02296 0.02801 0.05235
28.221 0.02296 0.02801 0.05235
28.29 0.02296 0.02801 0.05235
28.359 0.02296 0.02801 0.05235
28.428 0.02296 0.02801 0.05235
28.497 0.02296 0.02801 0.05235
28.566 0.02296 0.02801 0.05235
28.635 0.02296 0.02801 0.05235
28.704 0.02296 0.02801 0.05235
28.773 0.02296 0.02801 0.05235
28.842 0.02296 0.02801 0.05235
28.911 0.02296 0.02801 0.05235
28.98 0.02296 0.02801 0.05235
29.049 0.02296 0.02801 0.05235
29.118 0.02296 0.02801 0.05235
29.187 0.02296 0.02801 0.05235
29.256 0.02296 0.02801 0.05235
29.325 0.02296 0.02801 0.05235
29.394 0.02296 0.02801 0.05235
29.463 0.02296 0.02801 0.05235
29.532 0.02296 0.02801 0.05235
29.601 0.02296 0.02801 0.05235
29.67 0.02296 0.02801 0.05235
29.739 0.02296 0.02801 0.05235
29.808 0.02296 0.02801 0.05235
29.877 0.02296 0.02801 0.05235
29.946 0.02296 0.02801 0.05235
30.015 0.02296 0.02801 0.05235
30.084 0.02296 0.02801 0.05235
30.153 0.02296 0.02801 0.05235
30.222 0.02295 0.02801 0.05235
30.291 0.02295 0.02801 0.05235
30.36 0.02295 0.02801 0.05235
30.429 0.02295 0.02801 0.05235
30.498 0.02295 0.02801 0.05235
30.567 0.02295 0.02801 0.05235
30.636 0.02295 0.02801 0.05235
30.705 0.02295 0.02801 0.05235
30.774 0.02295 0.02801 0.05235
30.843 0.02295 0.02801 0.05235
30.912 0.02295 0.02801 0.05235
30.981 0.02295 0.02801 0.05235
31.05 0.02295 0.02801 0.05235
31.119 0.02294 0.02801 0.05235
31.188 0.02294 0.02801 0.05235
31.257 0.02294 0.02801 0.05235
31.326 0.02294 0.02801 0.05235
31.395 0.02293 0.02801 0.05235
31.464 0.02293 0.02801 0.05235
31.533 0.02293 0.02801 0.05235
31.602 0.02292 0.02801 0.05235
31.671 0.02292 0.02801 0.05235
31.74 0.02291 0.02801 0.05235
31.809 0.0229 0.02801 0.05235
31.878 0.0229 0.02801 0.05235
31.947 0.02289 0.02801 0.05235
32.016 0.02288 0.02801 0.05235
32.085 0.02287 0.02801 0.05235
32.154 0.02285 0.02801 0.05235
32.223 0.02284 0.02801 0.05235
32.292 0.02282 0.02801 0.05235
32.361 0.0228 0.02801 0.05235
32.43 0.02277 0.02801 0.05235
32.499 0.02274 0.02801 0.05235
32.568 0.02271 0.02801 0.05235
32.637 0.02267 0.02801 0.05235
32.706 0.02262 0.02801 0.05235
32.775 0.02257 0.02801 0.05235
32.844 0.0225 0.02801 0.05235
32.913 0.02242 0.02801 0.05235
32.982 0.02233 0.02801 0.05235
33.051 0.02223 0.02801 0.05235
33.12 0.02213 0.02801 0.05235
33.189 0.02201 0.02801 0.05235
33.258 0.02188 0.02801 0.05235
33.327 0.02176 0.02801 0.05235
33.396 0.02163 0.02801 0.05235
33.465 0.02153 0.02801 0.05235
33.534 0.02143 0.02801 0.05235
33.603 0.02133 0.02801 0.05235
33.672 0.02124 0.02801 0.05235
33.741 0.02118 0.02801 0.05235
33.81 0.02112 0.02801 0.05235
33.879 0.02107 0.02801 0.05235
33.948 0.02102 0.02801 0.05235
34.017 0.02098 0.02801 0.05235
34.086 0.02095 0.02801 0.05235
34.155 0.02092 0.02801 0.05235
34.224 0.02089 0.02801 0.05235
34.293 0.02087 0.02801 0.05235
34.362 0.02086 0.02801 0.05235
34.431 0.02084 0.02801 0.05235
34.5   
