Raman shift	Spent	Raman shift	Fresh
cm^-1		cm^-1	
103.924	27.2285714285714	103.924	25.5857142857143
108.93	21.9857142857143	108.93	22.1571428571429
113.934	20.1714285714286	113.934	21.0142857142857
118.934	23.5857142857143	118.934	23.4142857142857
123.935	24.1	123.935	23.3142857142857
128.934	23.0428571428571	128.934	22.0428571428571
133.929	21.2428571428571	133.929	19.8142857142857
138.925	23.8571428571429	138.925	22.6714285714286
143.92	22.8	143.92	21.9857142857143
148.91	21.8	148.91	22.0714285714286
153.901	20.8571428571429	153.901	20.7142857142857
158.891	22.3571428571429	158.891	19.6714285714286
163.876	21.0714285714286	163.876	17.7142857142857
168.862	20.3285714285714	168.862	19.5428571428571
173.844	22.8	173.844	23.7
178.827	25.2714285714286	178.827	23.7857142857143
183.806	23.6714285714286	183.806	21.8571428571429
188.785	19.6142857142857	188.785	21.2428571428571
193.764	20.0428571428571	193.764	21.1
198.737	21.0857142857143	198.737	19.4571428571429
203.712	21.3285714285714	203.712	17.9571428571429
208.683	23.3	208.683	21.8142857142857
213.655	25.3857142857143	213.655	22.2571428571429
218.622	20.5857142857143	218.622	20.9857142857143
223.59	18.2428571428571	223.59	22.1285714285714
228.554	20.2428571428571	228.554	25.5
233.52	22.2142857142857	233.52	23.5857142857143
238.48	19.9	238.48	19.4714285714286
243.44	21.8	243.44	21.9285714285714
248.4	25.5285714285714	248.4	23.7285714285714
253.356	24	253.356	22.4428571428571
258.313	20.6	258.313	19.8714285714286
263.266	21.2142857142857	263.266	20.9428571428571
268.22	22.1428571428571	268.22	19.5714285714286
273.17	19.7571428571429	273.17	18.9571428571429
278.118	18.0857142857143	278.118	19.9714285714286
283.067	20.1571428571429	283.067	20.3285714285714
288.011	19.6857142857143	288.011	18.3
292.957	18.0714285714286	292.957	17.5857142857143
297.899	18.3285714285714	297.899	20.4428571428571
302.839	21.1714285714286	302.839	21.7
307.78	20.9142857142857	307.78	17.5285714285714
312.717	21.5714285714286	312.717	15.8
317.652	23.3714285714286	317.652	19.7714285714286
322.585	25.2142857142857	322.585	22.6571428571429
327.52	22.0285714285714	327.52	17.0142857142857
332.45	19.2714285714286	332.45	18.6
337.379	19.5857142857143	337.379	21.0285714285714
342.309	23.3428571428571	342.309	22.2714285714286
347.235	23.1	347.235	19.8142857142857
352.159	23.2714285714286	352.159	24.1857142857143
357.081	21.7714285714286	357.081	22.7142857142857
362.004	22.8285714285714	362.004	19.1142857142857
366.924	21.3285714285714	366.924	19.0428571428571
371.841	22.1	371.841	24.4857142857143
376.757	22.6857142857143	376.757	24.6285714285714
381.672	21.9428571428571	381.672	20.4857142857143
386.587	20.9714285714286	386.587	20.8
391.498	22.8428571428571	391.498	23.8428571428571
396.408	24.4285714285714	396.408	23.3857142857143
401.316	23.7	401.316	22.3
406.223	21.0714285714286	406.223	25.7714285714286
411.127	21.3714285714286	411.127	25.7857142857143
416.033	20.7714285714286	416.033	18.8857142857143
420.935	20.7	420.935	17.9285714285714
425.835	22.2142857142857	425.835	22.7
430.734	23.4	430.734	22.9857142857143
435.631	22.2285714285714	435.631	17.7571428571429
440.526	17.9428571428571	440.526	19.1857142857143
445.42	20.7428571428571	445.42	23.7428571428571
450.312	24.4428571428571	450.312	23.2857142857143
455.203	26.4285714285714	455.203	20.9142857142857
460.092	24.4857142857143	460.092	23.5142857142857
464.979	24.8	464.979	23.9571428571429
469.865	23.2714285714286	469.865	20.6428571428571
474.749	21.3857142857143	474.749	21.5857142857143
479.632	22.7	479.632	26.0428571428571
484.513	25.3714285714286	484.513	25.2285714285714
489.393	25.3428571428571	489.393	20.5142857142857
494.271	21.7857142857143	494.271	22.2571428571429
499.147	22.2142857142857	499.147	20.0285714285714
504.022	23.1428571428571	504.022	16.8857142857143
508.896	23.4142857142857	508.896	16.2
513.767	22.0285714285714	513.767	23.7
518.638	23.7285714285714	518.638	22.4
523.506	23.2428571428571	523.506	18.4714285714286
528.373	23.9	528.373	17.7857142857143
533.239	24.2428571428571	533.239	21.7142857142857
538.103	24.1285714285714	538.103	20.2428571428571
542.965	22.7	542.965	16.8571428571429
547.826	20.7714285714286	547.826	19.2857142857143
552.682	22.5571428571429	552.682	22.5571428571429
557.54	21.8857142857143	557.54	20.8428571428571
562.396	21.4857142857143	562.396	17.9571428571429
567.25	21.5142857142857	567.25	21.5142857142857
572.103	23.9857142857143	572.103	21.1857142857143
576.955	22.9857142857143	576.955	16.7571428571429
581.802	19.9428571428571	581.802	16.6857142857143
586.65	24.5	586.65	21.7714285714286
591.497	26.4428571428571	591.497	20.9142857142857
596.342	25.7714285714286	596.342	17.7
601.186	21.6142857142857	601.186	23.0571428571429
606.025	24.9857142857143	606.025	26.0285714285714
610.865	23.3	610.865	21.1
615.704	21.9	615.704	17.9
620.542	20.7	620.542	25.0428571428571
625.375	24.9428571428571	625.375	27.9
630.209	25.3857142857143	630.209	22.4142857142857
635.042	22.6571428571429	635.042	20.7571428571429
639.87	22.0285714285714	639.87	25.8857142857143
644.7	23.2571428571429	644.7	24.8
649.528	23.9	649.528	19.3
654.355	24.2428571428571	654.355	20.1
659.177	26.1142857142857	659.177	22.6857142857143
664.001	26.8714285714286	664.001	21.6714285714286
668.82	22.9428571428571	668.82	20.6428571428571
673.64	23.7285714285714	673.64	25.1857142857143
678.459	24.7428571428571	678.459	24.5285714285714
683.273	22.8285714285714	683.273	18.6285714285714
688.089	19.4	688.089	18.1
692.903	24.1285714285714	692.903	24.0857142857143
697.713	25.8857142857143	697.713	25.2571428571429
702.524	22.8428571428571	702.524	18.5285714285714
707.331	27.8714285714286	707.331	24.7428571428571
712.139	32.4142857142857	712.139	27.0714285714286
716.943	30.5857142857143	716.943	21.9571428571429
721.748	24.3	721.748	15.4857142857143
726.549	26.6714285714286	726.549	21.1571428571429
731.351	25.9142857142857	731.351	22.7285714285714
736.148	24.9857142857143	736.148	20.1857142857143
740.947	21.4285714285714	740.947	22.5
