Reactor-length Temperature-100mlmin Temperature-200mlmin Temperature-400mlmin Temperature-600mlmin Temperature-800mlmin
cm  K K K K K
8.97 42.35 40.75 38.35 36.35 34.75
9.039 42.75 41.15 38.65 36.65 34.95
9.108 43.15 41.55 38.95 36.95 35.15
9.177 43.55 41.85 39.25 37.15 35.45
9.246 44.05 42.25 39.55 37.45 35.65
9.315 44.55 42.65 39.85 37.75 35.95
9.384 44.95 43.05 40.25 37.95 36.15
9.453 45.55 43.55 40.55 38.25 36.45
9.522 46.05 43.95 40.85 38.55 36.65
9.591 46.65 44.45 41.25 38.85 36.95
9.66 47.15 44.95 41.65 39.15 37.15
9.729 47.85 45.45 41.95 39.45 37.45
9.798 48.45 45.95 42.35 39.85 37.75
9.867 49.15 46.55 42.75 40.15 38.05
9.936 49.85 47.15 43.25 40.45 38.35
10.005 50.65 47.75 43.65 40.85 38.65
10.074 51.45 48.45 44.15 41.25 38.95
10.143 52.35 49.15 44.65 41.55 39.25
10.212 53.35 49.95 45.15 41.95 39.55
10.281 54.35 50.75 45.65 42.35 39.95
10.35 55.45 51.65 46.25 42.75 40.25
10.419 56.55 52.65 46.85 43.25 40.65
10.488 57.75 53.65 47.45 43.65 40.95
10.557 59.05 54.65 48.15 44.15 41.35
10.626 60.45 55.85 48.95 44.65 41.75
10.695 61.95 57.15 49.75 45.15 42.15
10.764 63.35 58.45 50.65 45.75 42.55
10.833 65.05 59.95 51.65 46.35 42.95
10.902 66.95 61.55 52.75 47.05 43.45
10.971 68.85 63.25 53.85 47.75 43.95
11.04 70.85 65.05 55.15 48.55 44.45
11.109 73.25 67.15 56.75 49.45 44.95
11.178 75.85 69.45 58.45 50.55 45.65
11.247 78.65 72.05 60.35 51.75 46.35
11.316 81.65 74.75 62.45 53.15 47.25
11.385 85.35 78.05 65.15 55.05 48.35
11.454 89.45 81.85 68.25 57.15 49.75
11.523 93.95 85.95 71.65 59.75 51.35
11.592 99.45 91.15 76.05 63.15 53.65
11.661 105.95 97.25 81.35 67.35 56.65
11.73 114.05 105.05 88.25 73.15 61.05
11.799 124.05 114.65 97.05 80.95 67.45
11.868 136.55 126.75 108.65 91.65 76.75
11.937 153.95 144.05 125.55 108.05 92.15
12.006 178.85 169.05 150.85 133.65 117.65
12.075 213.35 204.05 186.95 170.95 155.85
12.144 234.05 225.05 208.45 193.15 178.75
12.213 245.85 236.85 220.45 205.35 191.35
12.282 254.55 245.65 229.15 214.35 200.55
12.351 261.35 252.25 235.85 221.05 207.35
12.42 266.85 257.75 241.05 226.25 212.65
12.489 271.75 262.35 245.45 230.45 216.95
12.558 276.15 266.55 249.15 233.95 220.35
12.627 280.35 270.55 252.55 236.95 223.15
12.696 284.65 274.45 255.85 239.65 225.55
12.765 289.25 278.65 259.15 242.35 227.75
12.834 294.55 283.45 262.95 245.15 229.85
12.903 300.85 289.15 267.45 248.55 232.35
12.972 308.45 296.25 273.25 252.95 235.45
13.041 317.95 305.25 280.95 259.05 240.05
13.11 330.05 316.95 291.35 267.85 247.15
13.179 345.05 331.75 305.35 280.35 257.75
13.248 363.25 350.05 323.35 297.35 273.15
13.317 384.65 371.95 345.75 319.45 294.25
13.386 409.25 397.45 372.45 346.85 321.65
13.455 435.85 425.15 402.25 378.35 354.15
13.524 461.35 451.85 431.55 409.75 387.25
13.593 483.65 475.45 457.45 437.95 417.35
13.662 505.05 498.05 482.75 465.65 447.45
