x Temperature-80um x Temperature-50um x Temperature-20um
cm C cm C cm C
0 585.148218 0 589.646204 0 595.021606
0.0101009992421001 585.101953 0.0101009878462107 589.615991 0.0101009747964912 594.960474
0.0202019984842003 585.055811 0.0202019756924214 589.585779 0.0202019495929824 594.946802
0.0303029977263004 585.009668 0.0303029635386321 589.555505 0.0303029243894736 594.932947
0.0404039969684005 584.963403 0.0404039513848428 589.525293 0.0404038991859648 594.919214
0.0505049962105007 584.917322 0.0505049392310535 589.495081 0.0505048739824559 594.905481
0.0606059954526008 584.871179 0.0606059270772643 589.464807 0.0606058487789471 594.891687
0.0707069946947009 584.824976 0.070706914923475 589.434595 0.0707068235754383 594.878015
0.080807993936801 584.778711 0.0808079027696857 589.404443 0.0808077983719295 594.864221
0.0909089931789012 584.732568 0.0909088906158964 589.374231 0.0909087731684207 594.850427
0.101009992421001 584.686365 0.101009878462107 589.343958 0.101009747964912 594.836694
0.111110991663101 584.640283 0.111110866308318 589.313684 0.111110722761403 594.822961
0.121211990905202 584.592615 0.121211854154529 589.283533 0.121211697557894 594.809229
0.131312990147302 584.545068 0.131312842000739 589.253259 0.131312672354385 594.795496
0.141413989389402 584.4974 0.14141382984695 589.223047 0.141413647150877 594.781763
0.151514988631502 584.449854 0.151514817693161 589.192773 0.151514621947368 594.767969
0.161615987873602 584.402124 0.161615805539371 589.162622 0.161615596743859 594.754175
0.171716987115702 584.354517 0.171716793385582 589.13241 0.17171657154035 594.740503
0.181817986357802 584.306787 0.181817781231793 589.102136 0.181817546336841 594.726709
0.191918985599903 584.25918 0.191918769078003 589.071924 0.191918521133333 594.712915
0.202019984842003 584.211511 0.202019756924214 589.041711 0.202019495929824 594.699243
0.212120984084103 584.163904 0.212120744770425 589.011499 0.212120470726315 594.685449
0.222221983326203 584.116235 0.222221732616636 588.981287 0.222221445522806 594.671777
0.232322982568303 584.068628 0.232322720462846 588.950952 0.232322420319297 594.657983
0.242423981810403 584.021021 0.242423708309057 588.920801 0.242423395115789 594.644312
0.252524981052503 583.973352 0.252524696155268 588.890527 0.25252436991228 594.630457
0.262625980294603 583.925684 0.262625684001478 588.860376 0.262625344708771 594.616724
0.272726979536704 583.878076 0.272726671847689 588.830164 0.272726319505262 594.60293
0.282827978778804 583.830408 0.2828276596939 588.79989 0.282827294301753 594.591821
0.292928978020904 583.782739 0.292928647540111 588.769678 0.292928269098244 594.581201
0.303029977263004 583.735132 0.303029635386321 588.739404 0.303029243894736 594.570703
0.313130976505104 583.687402 0.313130623232532 588.709253 0.313130218691227 594.560144
0.323231975747204 583.639795 0.323231611078743 588.678979 0.323231193487718 594.549585
0.333332974989304 583.592188 0.333332598924953 588.648828 0.333332168284209 594.539087
0.343433974231404 583.544519 0.343433586771164 588.618616 0.3434331430807 594.528467
0.353534973473505 583.496851 0.353534574617375 588.588281 0.353534117877192 594.517969
0.363635972715605 583.449243 0.363635562463586 588.55813 0.363635092673683 594.507471
0.373736971957705 583.401575 0.373736550309796 588.527856 0.373736067470174 594.496851
0.383837971199805 583.353967 0.383837538156007 588.497705 0.383837042266665 594.486414
0.393938970441905 583.306299 0.393938526002218 588.467432 0.393938017063156 594.475793
0.404039969684005 583.25863 0.404039513848428 588.43728 0.404038991859648 594.465295
0.414140968926105 583.211023 0.414140501694639 588.407007 0.414139966656139 594.454736
0.424241968168206 583.163354 0.42424148954085 588.376855 0.42424094145263 594.444238
0.434342967410306 583.115747 0.43434247738706 588.346582 0.434341916249121 594.433679
0.444443966652406 583.068079 0.444443465233271 588.31637 0.444442891045612 594.423059
0.454544965894506 583.02041 0.454544453079482 588.286157 0.454543865842103 594.412561
0.464645965136606 582.972803 0.464645440925693 588.255884 0.464644840638595 594.402063
0.474746964378706 582.925073 0.474746428771903 588.225671 0.474745815435086 594.391443
0.484847963620806 582.877466 0.484847416618114 588.195459 0.484846790231577 594.381006
0.494948962862906 582.829797 0.494948404464325 588.165247 0.494947765028068 594.370386
0.505049962105007 582.782251 0.505049392310535 588.135034 0.505048739824559 594.359888
0.515150961347107 582.734521 0.515150380156746 588.104822 0.515149714621051 594.349268
0.525251960589207 582.686914 0.525251368002957 588.074609 0.525250689417542 594.338831
0.535352959831307 582.639246 0.535352355849168 588.044336 0.535351664214033 594.32821
0.545453959073407 582.591577 0.545453343695378 588.014063 0.545452639010524 594.31759
0.555554958315507 582.54397 0.555554331541589 587.983911 0.555553613807015 594.307214
0.565655957557607 582.496362 0.5656553193878 587.953638 0.565654588603507 594.296655
0.575756956799708 582.448694 0.57575630723401 587.923486 0.575755563399998 594.286035
0.585857956041808 582.401025 0.585857295080221 587.893213 0.585856538196489 594.275598
0.595958955283908 582.353418 0.595958282926432 587.862939 0.59595751299298 594.264978
0.606059954526008 582.305688 0.606059270772643 587.832788 0.606058487789471 594.25448
0.616160953768108 582.258081 0.616160258618853 587.802515 0.616159462585963 594.243982
0.626261953010208 582.210413 0.626261246465064 587.772302 0.626260437382454 594.233362
0.636362952252308 582.162866 0.636362234311275 587.74209 0.636361412178945 594.222803
0.646463951494408 582.115137 0.646463222157485 587.711877 0.646462386975436 594.212244
0.656564950736509 582.067529 0.656564210003696 587.681665 0.656563361771927 594.201807
0.666665949978609 582.0198 0.666665197849907 587.651514 0.666664336568418 594.191248
0.676766949220709 581.972192 0.676766185696117 587.62124 0.67676531136491 594.180627
0.686867948462809 581.924585 0.686867173542328 587.590967 0.686866286161401 594.169214
0.696968947704909 581.876917 0.696968161388539 587.560754 0.696967260957892 594.154871
